Row Type,Vote,Description,Date,Outcome,NewsLink,Ken Sim,Brian Montague,Sarah Kirby-Yung,Mike Klassen,Lenny Zhou,Peter Meiszner,Lisa Dominato,Rebecca Bligh,Pete Fry,Adriane Carr,Christine Boyle,Lucy Maloney,Sean Orr
Vote,Missing-middle multiplex zoning,Incremental proposal from City planners to allow multiplexes in more neighbourhoods with only a small increase in density.,2023-09-14,Pass,https://globalnews.ca/news/9964293/vancouver-missing-middle-plan/,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,,
CouncilVote,9495,1. Adding Missing Middle Housing and Simplifying Regulations - Amendments to the Zoning and Development By-law,2023-09-14,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,Absent,In Favour,In Favour,In Favour,,
CouncilVote,9496,1. Adding Missing Middle Housing and Simplifying Regulations - Amendments to the Zoning and Development By-law,2023-09-14,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,
CouncilVote,9497,1. Adding Missing Middle Housing and Simplifying Regulations - Amendments to the Zoning and Development By-law,2023-09-14,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,
,,,,,,,,,,,,,,,,,,
Vote,2156-2174 West 14th Avenue rental tower,"Considered a 17-storey, 170-home rental tower on a lower-density street under the Broadway Plan.",2024-11-26,Pass,https://council.vancouver.ca/20241112/phea20241112ag.htm,Supported,Supported,Absent,Supported,Supported,Supported,Supported,Absent,Absent,Abstained,Absent,,
CouncilVote,10333,CD-1 Rezoning: 2156-2174 West 14th Avenue,2024-11-26,,,In Favour,In Favour,Absent,In Favour,In Favour,In Favour,In Favour,Absent,Absent,Abstain,Absent,,
,,,,,,,,,,,,,,,,,,
Vote,Right to Cool for strata buildings,Giving tenants the right to install air conditioning,2025-11-05,Pass,https://vancouversun.com/news/local-news/vancouver-landlords-to-face-1000-fines-for-failing-to-allow-air-conditioners,Absent,Supported,Supported,Supported,Supported,Supported,Absent,Supported,Supported,,,Proposed,Proposed
CouncilVote,11115,Motion 1. Giving Effect to Cooling Rights in a Climate Emergency Through the Standards of Maintenance By-law,2025-11-05,,,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,Absent,In Favour,In Favour,,,In Favour,In Favour
,,,,,,,,,,,,,,,,,,
Vote,1780 East Broadway Safeway towers,"Approved three rental towers with more than 1,000 homes beside Commercial-Broadway Station, amid major affordability and scale concerns.",2025-06-10,Pass,https://globalnews.ca/news/11236071/commercial-broadway-towers-approved/,Supported,Absent,Supported,Supported,Supported,Supported,Supported,Supported,Abstained,,,Supported,Opposed
CouncilVote,10765,1. CD-1 Rezoning: 1780 East Broadway,2025-06-10,,,In Favour,Absent,In Favour,In Opposition,In Favour,In Favour,In Favour,Abstain,Abstain,,,In Opposition,In Favour
CouncilVote,10766,1. CD-1 Rezoning: 1780 East Broadway,2025-06-10,,,In Favour,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,Abstain,,,In Favour,In Opposition
,,,,,,,,,,,,,,,,,,
Vote,Vancouver Social Housing Initiative,"Replace site rezonings with citywide zoning for mixed-income social, supportive, and co-operative housing.",2025-12-09,Fail,https://vancouversun.com/news/vancouver-city-council-reject-fast-track-social-housing-towers,Opposed,Opposed,Opposed,Opposed,Opposed,Opposed,Opposed,Absent,Supported,,,Supported,Supported
CouncilVote,11190,UB1. Vancouver's Social Housing Initiative - Amendment,2025-12-09,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,Absent,In Opposition,,,In Opposition,In Opposition
CouncilVote,11191,UB1. Vancouver's Social Housing Initiative - Severed A,2025-12-09,,,In Opposition,In Opposition,In Opposition,In Opposition,In Opposition,In Opposition,In Opposition,Absent,In Favour,,,In Favour,In Favour
CouncilVote,11192,UB1. Vancouver's Social Housing Initiative - Severed B,2025-12-09,,,In Opposition,In Opposition,In Opposition,In Opposition,In Opposition,In Opposition,In Opposition,Absent,In Favour,,,In Favour,In Favour
CouncilVote,11193,UB1. Vancouver's Social Housing Initiative - Severed C,2025-12-09,,,In Opposition,In Opposition,In Opposition,In Opposition,In Opposition,In Opposition,In Opposition,Absent,In Favour,,,In Favour,In Favour
CouncilVote,11194,UB1. Vancouver's Social Housing Initiative - Severed D,2025-12-09,,,In Opposition,In Opposition,In Opposition,In Opposition,In Opposition,In Opposition,In Opposition,Absent,In Favour,,,In Favour,In Favour
CouncilVote,11195,UB1. Vancouver's Social Housing Initiative - Severed E,2025-12-09,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,Absent,In Opposition,,,In Opposition,In Opposition
,,,,,,,,,,,,,,,,,,
Vote,Downtown Eastside housing implementation,"Changes zoning and related policies to accelerate SRO replacement, increase social housing, and create a $5 million Downtown Eastside Housing Revitalization Grant Program.",2025-12-11,Pass,https://globalnews.ca/news/11582536/vancouver-council-approves-dtes-changes-housing/,Supported,Absent,Absent,Supported,Supported,Supported,Supported,Opposed,Opposed,,,Opposed,Opposed
CouncilVote,11265,1. Downtown Eastside Housing Implementation - Amendments to the FC-1 District in the Zoning and Development By-law and the Downtown Eastside/Oppenheim,2025-12-16,,,In Opposition,Absent,Absent,In Opposition,In Opposition,In Opposition,In Opposition,In Favour,In Favour,,,In Favour,In Favour
CouncilVote,11266,1. Downtown Eastside Housing Implementation - Amendments to the FC-1 District in the Zoning and Development By-law and the Downtown Eastside/Oppenheim,2025-12-16,,,In Favour,Absent,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,,In Favour,In Favour
